version,diversity
no_alignment,5.082612683896939
hinge_300_alignment,4.775986961752047
hinge_250_alignment,5.03204162159035
hinge_200_alignment,4.682414615353314
hinge_150_alignment,4.341990540711268
hinge_100_alignment,4.804496474811367
hinge_50_alignment,4.877693675013569
sigmoid_300_alignment,4.860223187978885
sigmoid_250_alignment,4.894788644499571
sigmoid_200_alignment,4.824587622566449
sigmoid_150_alignment,4.913865625250809
sigmoid_100_alignment,4.678307369857857
sigmoid_50_alignment,5.0501551565412015